#t [s],	 res[A],	 res[Q] 
1.32440000000000002167 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32550000000000012257 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32660000000000000142 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32770000000000010232 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32879999999999998117 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.32990000000000008207 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33099999999999996092 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33210000000000006182 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33320000000000016271 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33430000000000004157 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33540000000000014246 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33650000000000002132 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33760000000000012221 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33870000000000000107 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.33980000000000010196 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.34089999999999998082 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.34200000000000008171 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.34309999999999996056 ,	 0.00005810838119423467 ,	 0.00090998067298161001 
1.34420000000000006146 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.34530000000000016236 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.34640000000000004121 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.34750000000000014211 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.34860000000000002096 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.34970000000000012186 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35080000000000000071 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35190000000000010161 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35299999999999998046 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35410000000000008136 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35519999999999996021 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35630000000000006111 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35740000000000016200 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35850000000000004086 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.35960000000000014175 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36070000000000002061 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36180000000000012150 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36290000000000000036 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36400000000000010125 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36509999999999998010 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36620000000000008100 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36729999999999995985 ,	 0.00004404465494926903 ,	 0.00159645797622799462 
1.36840000000000006075 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.36950000000000016165 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37060000000000004050 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37170000000000014140 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37280000000000002025 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37390000000000012115 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37500000000000000000 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37610000000000010090 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37719999999999997975 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37830000000000008065 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.37939999999999995950 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38050000000000006040 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38160000000000016129 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38270000000000004015 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38380000000000014104 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38490000000000001990 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38600000000000012079 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38709999999999999964 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38820000000000010054 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.38929999999999997939 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.39040000000000008029 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.39149999999999995914 ,	 0.00003091759447045398 ,	 0.00932295458063662520 
1.39260000000000006004 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
1.39370000000000016094 ,	 0.00002852064459588636 ,	 0.00570283945789423069 
