4.31501899239897568350,	 6.37500000000000000000,	 0.92988960966603684266,	 2.71651847365363829923,	 100000.00000000000000000000,	 0.93943647449199363386,	 0.00954686482595680508,	 2.77258397527864142162,	 8.07560589207740520123,	 2.91266412995329249114,	 10.87675644691569765143,	 1692.13773248415759553609,	 16.67080203087655121408,	 1696.37953865111580853409,	 -0.99523216134120640053,	 -10.78273525585368552981,	 4.21810854326090556299,	 0.01009448641823075705
4.31501899239897568350,	 6.62500000000000000000,	 0.90449971294318964876,	 2.57019893576894453702,	 100000.00000000000000000000,	 0.91406741018685033762,	 0.00956769724366064722,	 2.62486107604986784736,	 8.25120419479682531971,	 3.14348224753059923842,	 11.65323301743976180944,	 1695.83018238243585074088,	 12.52239742203355277184,	 1700.77092270270577500924,	 -1.06512484519673211736,	 -10.40387816753258043434,	 4.12204350569380206792,	 0.01104458569395691710
4.31501899239897568350,	 6.87500000000000000000,	 0.87653668647301807848,	 2.41373766911366205434,	 100000.00000000000000000000,	 0.88611887632990771202,	 0.00958218985688967864,	 2.46679948399341730791,	 8.40977572180376142796,	 3.40918496877154497682,	 12.55560380108477325223,	 1698.39893119517432751309,	 7.59840323854858645802,	 1704.21020227082317433087,	 -1.14753107625055750241,	 -10.01920835962340738945,	 4.02852595431416027338,	 0.01216555987586446889
4.31501899239897568350,	 7.12500000000000000000,	 0.84668907277118088395,	 2.25215243718882662805,	 100000.00000000000000000000,	 0.85627820471463556018,	 0.00958913194345461031,	 2.30345457585305979364,	 8.55108407189791641656,	 3.71228682411986099510,	 13.59799456762184988179,	 1699.62938400171015018714,	 1.72863335060574430102,	 1706.51992073397718741035,	 -1.24343375161224245495,	 -9.63437501744975222095,	 3.93953021770061218021,	 0.01347601881528185871
4.31501899239897568350,	 7.37500000000000000000,	 0.81569181914556909696,	 2.09026854867095135404,	 100000.00000000000000000000,	 0.82527888538710958422,	 0.00958706624154057226,	 2.13969238226089686350,	 8.67513614127592269654,	 4.05438473922563424878,	 14.79469233820258722290,	 1699.26324787047724385047,	 -5.25491703840536938941,	 1707.48226567731012437434,	 -1.35385841882914115253,	 -9.25713409894263783428,	 3.85744542855293159889,	 0.01499174274536162373
4.31501899239897568350,	 7.62500000000000000000,	 0.78430818085443099186,	 1.93251717667357714170,	 100000.00000000000000000000,	 0.79388248895060820054,	 0.00957430809617712021,	 1.97998690464332405270,	 8.78218483150924100755,	 4.43547622002644903461,	 16.15922496321943313546,	 1697.00192548250743129756,	 -13.49368518967916052986,	 1706.83865013171748614695,	 -1.47971883483375954427,	 -8.89657202134950253480,	 3.78500366226083873045,	 0.01672205600228268349
4.31501899239897568350,	 7.87500000000000000000,	 0.75331092722881887180,	 1.78278268352206992198,	 100000.00000000000000000000,	 0.76285992848722106174,	 0.00954900125840218300,	 1.82826640249404537286,	 8.87272398735176004436,	 4.85308047845103818219,	 17.70296868156311020925,	 1692.51640527563768046093,	 -23.06941314669686349248,	 1704.29260034079902652593,	 -1.62174463281759795308,	 -8.56322407807614816022,	 3.72534324086296075862,	 0.01866476909164572692
4.31501899239897568350,	 8.12500000000000000000,	 0.72346331352698189932,	 1.64430697486169763444,	 100000.00000000000000000000,	 0.73297254401017930547,	 0.00950923048319744085,	 1.68781672700718266000,	 8.94747708338973346542,	 5.30121365680223899375,	 19.43316147326077469870,	 1685.46721890915910080366,	 -33.95800332803692356265,	 1699.51865202669227983279,	 -1.78038323017649280366,	 -8.26900821566396260209,	 3.68205197615621937501,	 0.02079979163090399721
4.31501899239897568350,	 8.37500000000000000000,	 0.69550028705681044006,	 1.51965323821833009355,	 100000.00000000000000000000,	 0.70495349455643363523,	 0.00945320749962326110,	 1.56124409280956344404,	 9.00737500181460504223,	 5.76935729864330770766,	 21.35022078290726454952,	 1675.53740361161908367649,	 -45.97575261514701594479,	 1692.18014543132358085131,	 -1.95563979027008949529,	 -8.02692909297729784157,	 3.65919043833751178596,	 0.02308206882306658089
4.31501899239897568350,	 8.62500000000000000000,	 0.67011039033396313513,	 1.41072569443934336952,	 100000.00000000000000000000,	 0.67948992561355447961,	 0.00937953527959130111,	 1.45049393390102432377,	 9.05351871802094265718,	 6.24167982121234921067,	 23.44433588428507064805,	 1662.47934260158558572584,	 -58.73004795260872867857,	 1681.95862609685036659357,	 -2.14679007250117637184,	 -7.85052395437808137046,	 3.66129394356578696801,	 0.02543533755390309237
