3.75219042817302295134,	 6.12500000000000000000,	 0.95208119312000605294,	 2.84772367318000707570,	 100000.00000000000000000000,	 0.95254536221199370694,	 0.00046416909198764440,	 2.85050105716064061667,	 0.08622752343191827928,	 0.03024995314957320755,	 3.13138386273015356664,	 82.27182945649200007665,	 0.07843380139015751484,	 82.27228698632477232877,	 -0.44284769417069524966,	 -468.42803344762671713397,	 2482.47718600300322577823,	 0.00010411406483588491
3.75219042817302295134,	 6.37500000000000000000,	 0.92988960966603684266,	 2.71651847365363829923,	 100000.00000000000000000000,	 0.93035382508212827180,	 0.00046421541609149706,	 2.71923140755099934651,	 0.08977166008235436256,	 0.03301361547717806405,	 3.39774866384113138906,	 82.28004019011522984783,	 -0.02804149244681197750,	 82.28058513951866359548,	 -0.48815750580383981960,	 -462.10701348378404418327,	 2433.02524685713933649822,	 0.00011497318025185139
3.75219042817302295134,	 6.62500000000000000000,	 0.90449971294318964876,	 2.57019893576894453702,	 100000.00000000000000000000,	 0.90496380293158773522,	 0.00046408998839800043,	 2.57283710045857016979,	 0.09323521197530380833,	 0.03623828805900148470,	 3.71518572747267938894,	 82.25780871026859131234,	 -0.17084833929894865934,	 82.25846531702931940799,	 -0.54397904146698372596,	 -456.32391798478653299753,	 2391.04356007636033609742,	 0.00012796158130409208
3.75219042817302295134,	 6.87500000000000000000,	 0.87653668647301807848,	 2.41373766911366205434,	 100000.00000000000000000000,	 0.87700041993484256775,	 0.00046373346182450483,	 2.41629233005285382063,	 0.09660167829609678236,	 0.03997930097058401827,	 4.09216539964061531975,	 82.19461602046575876557,	 -0.36305142920856070532,	 82.19541519271881213626,	 -0.61228113443796916560,	 -451.17290757768500952807,	 2357.54940847332545672543,	 0.00014340451508896722
3.75219042817302295134,	 7.12500000000000000000,	 0.84668907277118088395,	 2.25215243718882662805,	 100000.00000000000000000000,	 0.84715213861040572496,	 0.00046306583922480513,	 2.25461657680907379131,	 0.09985700949581748087,	 0.04429001832193731752,	 4.53823969697485196662,	 82.07628299566431451240,	 -0.62091355121727387356,	 82.07726379852579157159,	 -0.69530899572624405014,	 -446.74626414738446555930,	 2333.58333096186879629386,	 0.00016164142998251627
3.75219042817302295134,	 7.37500000000000000000,	 0.81569181914556909696,	 2.09026854867095135404,	 100000.00000000000000000000,	 0.81615380104260437655,	 0.00046198189703528517,	 2.09263694239042186140,	 0.10299068099130126441,	 0.04921574254235179524,	 5.06386656577461646833,	 81.88415924485711627767,	 -0.96362643176245776910,	 81.88537033951411103772,	 -0.79550511382023580964,	 -443.13746723778046998632,	 2320.26569343740720796632,	 0.00018299767320990469
3.75219042817302295134,	 7.62500000000000000000,	 0.78430818085443099186,	 1.93251717667357714170,	 100000.00000000000000000000,	 0.78476852835367960637,	 0.00046034749924852761,	 1.93478641357310610083,	 0.10599716586306257016,	 0.05478494428090910362,	 5.67999782606563563547,	 81.59446977978308268575,	 -1.41202799988388472130,	 81.59597047484301413078,	 -0.91533823879154341263,	 -440.44277393728572178588,	 2318.83832188469114043983,	 0.00020773896563027752
3.75219042817302295134,	 7.87500000000000000000,	 0.75331092722881887180,	 1.78278268352206992198,	 100000.00000000000000000000,	 0.75376892586840804622,	 0.00045799863958916986,	 1.78495113807667360462,	 0.10887786456772170773,	 0.06099767228644709105,	 6.39732342443426205136,	 81.17814524491517147453,	 -1.98566626768725318364,	 81.18000560292735201529,	 -1.05700097122353575685,	 -438.76086434417061354907,	 2330.68575898273411439732,	 0.00023600525711205546
3.75219042817302295134,	 8.12500000000000000000,	 0.72346331352698189932,	 1.64430697486169763444,	 100000.00000000000000000000,	 0.72391805956510735243,	 0.00045474603812539522,	 1.64637474269938932636,	 0.11164341872584140902,	 0.06781166877158921469,	 7.22505405140174428169,	 80.60163664593946464265,	 -2.69756334940131514699,	 80.60393585715026176786,	 -1.22194086245861677220,	 -438.19023672204508557115,	 2357.32934187042883422691,	 0.00026772396983368269
3.75219042817302295134,	 8.37500000000000000000,	 0.69550028705681044006,	 1.51965323821833009355,	 100000.00000000000000000000,	 0.69595067601068594243,	 0.00045038895387556499,	 1.52162205593599075826,	 0.11431609085653889057,	 0.07512778249407010833,	 8.16914378093283666260,	 79.82936357021451101446,	 -3.54637978030433664856,	 79.83218566206575417254,	 -1.41021510828416318795,	 -438.82441612158191901472,	 2400.38756835724916527397,	 0.00030250939660775734
3.75219042817302295134,	 8.62500000000000000000,	 0.67011039033396313513,	 1.41072569443934336952,	 100000.00000000000000000000,	 0.67055513221943174873,	 0.00044474188546856768,	 1.41259886941179435560,	 0.11693154203474694086,	 0.08277759848656625341,	 9.22993073400753871738,	 78.82844675578729720655,	 -4.50660936704449532897,	 78.83187282119290273386,	 -1.61971618153208640756,	 -440.74573537123245614566,	 2461.49974035626837576274,	 0.00033956514627656205
3.75219042817302295134,	 8.87500000000000000000,	 0.64791880687999392485,	 1.31883676420406548147,	 100000.00000000000000000000,	 0.64835648292355951838,	 0.00043767604356549238,	 1.32061914252418288740,	 0.11953897952922316883,	 0.09051737603980263003,	 10.39933543119927605858,	 77.57605888669226601451,	 -5.51902552548863400972,	 77.58015558437483605303,	 -1.84540830669264410702,	 -444.01935600917880719862,	 2542.21802256499813665869,	 0.00037761788609798699
3.75219042817302295134,	 9.12500000000000000000,	 0.62947196712918151995,	 1.24480883126795838223,	 100000.00000000000000000000,	 0.62990114013108600144,	 0.00042917300190451765,	 1.24650682734166085019,	 0.12219847586845102028,	 0.09803273691573377580,	 11.65801606345639740425,	 76.06893399304297531671,	 -6.48556522287052406028,	 76.07373920179657034168,	 -2.07882324100533777411,	 -448.68996853669898428052,	 2643.88577906980117404601,	 0.00041491817600247758
3.75219042817302295134,	 9.37500000000000000000,	 0.61522409349774265230,	 1.18909497206622938315,	 100000.00000000000000000000,	 0.61564347409959752078,	 0.00041938060185480619,	 1.19071666841845780205,	 0.12497439168413887467,	 0.10495728748815892628,	 12.97320180280311419097,	 74.33327627525700620481,	 -7.27565304541773194558,	 74.33878429135543797202,	 -2.30813471220304577969,	 -454.78419573612387694084,	 2767.54040151622530174791,	 0.00044934042094377312
3.75219042817302295134,	 9.62500000000000000000,	 0.60552601592046462198,	 1.15190187886530770456,	 100000.00000000000000000000,	 0.60593466468406043113,	 0.00040864876359586943,	 1.15345716172255530196,	 0.12792152510127274834,	 0.11090270999768790661,	 14.29818876094918600472,	 72.43110747033411200846,	 -7.78018412221721700206,	 72.43725717587652468410,	 -2.51908622118492520059,	 -462.33226419955241226489,	 2914.03355261871502079885,	 0.00047858247240739740
3.75219042817302295134,	 9.87500000000000000000,	 0.60061653325337438503,	 1.13329882506072099346,	 100000.00000000000000000000,	 0.60101396636102988325,	 0.00039743310765554516,	 1.13479914837596895794,	 0.13100325910178178823,	 0.11544180244518412182,	 15.57443897292871426430,	 70.44318421414840258876,	 -8.58473249618473666089,	 70.44984761902429681868,	 -2.69685278985591869727,	 -471.63522707770852093745,	 3087.35906723194830192369,	 0.00050020536617518304
3.75219042817302295134,	 10.12500000000000000000,	 0.60061653325337438503,	 1.13329882506072099346,	 100000.00000000000000000000,	 0.60100096493371080175,	 0.00038443168033647088,	 1.13475005184945798575,	 0.13282840461844155899,	 0.11705520912024006130,	 16.73583932044273936413,	 68.13874122224174811890,	 -9.91568074055562398428,	 68.14559218323283573682,	 -2.82902403820428505199,	 -487.91996751865127635028,	 3357.77677219534280084190,	 0.00050720168794697097
3.75219042817302295134,	 10.37500000000000000000,	 0.60552601592046462198,	 1.15190187886530770456,	 100000.00000000000000000000,	 0.60589547740918214824,	 0.00036946148871756931,	 1.15330797276253460559,	 0.13605167095978104586,	 0.11796647051168353271,	 17.75341168438763261861,	 65.48534384387058082666,	 -10.42710794963599774121,	 65.49230188795307583405,	 -2.90700877128602597210,	 -501.54857040297889625435,	 3603.01921634153268314549,	 0.00050908143546946223
3.75219042817302295134,	 10.62500000000000000000,	 0.61522409349774265230,	 1.18909497206622938315,	 100000.00000000000000000000,	 0.61557911084962046999,	 0.00035501735187786550,	 1.19046771137862994472,	 0.13959675795004891641,	 0.11726211187062592078,	 18.58165512953646469896,	 62.92518724742374303105,	 -9.68793025286833220378,	 62.93206244886392397575,	 -2.92854940299814447968,	 -516.42379746769211124047,	 3872.96746002785903328913,	 0.00050204576061220864
3.75219042817302295134,	 10.87500000000000000000,	 0.62947196712918151995,	 1.24480883126795838223,	 100000.00000000000000000000,	 0.62981409947122490856,	 0.00034213234204342227,	 1.24616236287338266742,	 0.14335598784630998459,	 0.11503796946311384275,	 19.18984553033333639860,	 60.64137871743641738931,	 -8.30492627766079571927,	 60.64799558464551409998,	 -2.89676410532001993303,	 -532.73573745918884014827,	 4169.74620931671961443499,	 0.00048692553220219521
