3.93979994958167445418,	 6.87500000000000000000,	 0.87653668647301807848,	 2.41373766911366205434,	 100000.00000000000000000000,	 1.21402291897300251833,	 0.33748623249998438434,	 4.63024150918370747121,	 516.47985013553955013776,	 111.54490518715789448834,	 129.33918915964150642139,	 59817.87724221916141686961,	 -2417.48576828672730698599,	 66039.01017882517771795392,	 20.81110083123943965688,	 7.60851200245830927571,	 1.03265230094088433788,	 0.34006647954403596001
3.93979994958167445418,	 7.12500000000000000000,	 0.84668907277118088395,	 2.25215243718882662805,	 100000.00000000000000000000,	 1.18033669106990068975,	 0.33364761829871986132,	 4.37685024800460720229,	 515.02497009995795451687,	 117.67022879861066542162,	 134.45507828680999296012,	 59137.50058990196703234687,	 -3072.62310409210340367281,	 66060.64196266065118834376,	 23.34766706847791795099,	 7.86702139025489799451,	 1.02598625457758241275,	 0.36382385715524895309
3.93979994958167445418,	 7.37500000000000000000,	 0.81569181914556909696,	 2.09026854867095135404,	 100000.00000000000000000000,	 1.14451034189806888364,	 0.32881852275249978668,	 4.11518454049932280725,	 513.56472356192261941032,	 124.79749535110967428864,	 140.64798141832537226037,	 58281.56569017310539493337,	 -3829.15672398018796229735,	 66068.77311312821984756738,	 26.30950923982818778768,	 8.10502070925897477593,	 1.02051869184534993451,	 0.39185332681169432467
3.93979994958167445418,	 7.62500000000000000000,	 0.78430818085443099186,	 1.93251717667357714170,	 100000.00000000000000000000,	 1.10715394746594331110,	 0.32284576661151237476,	 3.85093242966904147906,	 512.11384631580688164831,	 132.98437603586287991675,	 147.97149178935922009259,	 57222.92222791187668917701,	 -4700.81929267748273559846,	 66065.34436273576284293085,	 29.75636162861660238832,	 8.32175164655680354997,	 1.01609896360914442326,	 0.42454540347001884504
3.93979994958167445418,	 7.87500000000000000000,	 0.75331092722881887180,	 1.78278268352206992198,	 100000.00000000000000000000,	 1.06886868358597375561,	 0.31555775635715493932,	 3.58920760032928942707,	 510.69397637328609107499,	 142.28599547332754582385,	 156.47724952319035196524,	 55931.15604383436584612355,	 -5699.16772455423142673681,	 66053.80829775225720368326,	 33.75215869470887497528,	 8.51709086047723218371,	 1.01257278857266763694,	 0.46230384960182158149
3.93979994958167445418,	 8.12500000000000000000,	 0.72346331352698189932,	 1.64430697486169763444,	 100000.00000000000000000000,	 1.03023202481306896949,	 0.30676871128608712569,	 3.33441740586593438067,	 509.33481159671111981879,	 152.75076560621508292570,	 166.21096760297862715561,	 54373.33836563475779257715,	 -6831.62936943225759023335,	 66039.73656227719038724899,	 38.36295774842348293987,	 8.69143053154089173518,	 1.00979225849299059092,	 0.50552588994882252660
3.93979994958167445418,	 8.37500000000000000000,	 0.69550028705681044006,	 1.51965323821833009355,	 100000.00000000000000000000,	 0.99178637276950210033,	 0.29628608571269166028,	 3.09019685503370267199,	 508.07497544001853384543,	 164.41508398159226089774,	 177.20726480722038331805,	 52515.34135911823250353336,	 -8098.74284586079647851875,	 66031.50127945524582173675,	 43.65372530017117469470,	 8.84555972124029032955,	 1.00762229606672604199,	 0.55457478552809957861
3.93979994958167445418,	 8.62500000000000000000,	 0.67011039033396313513,	 1.41072569443934336952,	 100000.00000000000000000000,	 0.95403296985271734965,	 0.28392257951875427002,	 2.85941136946171647892,	 506.96252887968216782610,	 177.29611566002751033011,	 189.48261825508447486754,	 50323.96694270436273654923,	 -9489.92106867354050336871,	 66040.92325677128974348307,	 49.68334648187164503952,	 8.98054168105643846332,	 1.00594427747591996791,	 0.60974052275159673631
3.93979994958167445418,	 8.87500000000000000000,	 0.64791880687999392485,	 1.31883676420406548147,	 100000.00000000000000000000,	 0.91743431951450560291,	 0.26951551263451167806,	 2.64423370795671308642,	 506.05536170010191199253,	 191.38072409308617238821,	 203.02467050346220389656,	 47770.38082478146679932252,	 -10975.84782717281632358208,	 66083.67160197845078073442,	 56.49649149595544628255,	 9.09757819113084487128,	 1.00465754482950075932,	 0.67117880251610295694
3.93979994958167445418,	 9.12500000000000000000,	 0.62947196712918151995,	 1.24480883126795838223,	 100000.00000000000000000000,	 0.88243225157445481788,	 0.25296028444527335344,	 2.44631634899693928276,	 505.42254486080645392576,	 206.60555412959749332913,	 217.77324329536679670127,	 44836.04302911795093677938,	 -12491.91966397820942802355,	 66178.97052771697053685784,	 64.10899201943828984440,	 9.19784016499221301899,	 1.00367955152743548730,	 0.73880331555295020163
3.93979994958167445418,	 9.37500000000000000000,	 0.61522409349774265230,	 1.18909497206622938315,	 100000.00000000000000000000,	 0.84950055136759494712,	 0.23427645786985232257,	 2.26713406682307638818,	 505.15020606293614946480,	 222.81443936432069108378,	 233.57986953515916184188,	 41524.42099279235844733194,	 -13895.14358372900460381061,	 66347.55818741062830667943,	 72.47764634961632168597,	 9.28222186273185378980,	 1.00294539591349218810,	 0.81206170147677836368
3.93979994958167445418,	 9.62500000000000000000,	 0.60552601592046462198,	 1.15190187886530770456,	 100000.00000000000000000000,	 0.81928882400653624263,	 0.21376280808607167616,	 2.10874435974773843938,	 505.36335590019859864697,	 239.65131361899810258365,	 250.10370461645854334165,	 37888.47123725344863487408,	 -14835.97507580115780001506,	 66604.84729690913809463382,	 81.42802611471107354646,	 9.35101284772296992287,	 1.00240702691684946402,	 0.88938300875437226178
3.93979994958167445418,	 9.87500000000000000000,	 0.60061653325337438503,	 1.13329882506072099346,	 100000.00000000000000000000,	 0.79304147812552105989,	 0.19242494487214664711,	 1.97579407151802577403,	 506.29919841156788606895,	 256.25099584521592532838,	 266.48637474724540652460,	 34106.43345489178318530321,	 -14879.30766403006418840960,	 66938.71989072422729805112,	 90.46395724621775968899,	 9.40445108759182879510,	 1.00202608078448252016,	 0.96659632621873514680
3.93979994958167445418,	 10.12500000000000000000,	 0.60061653325337438503,	 1.13329882506072099346,	 100000.00000000000000000000,	 0.77240558936720571381,	 0.17178905611383135654,	 1.87430683237158524079,	 505.68061409837531527955,	 269.79606826622455173492,	 279.65716998672229465228,	 30448.81740523842017864808,	 -16356.93576632948679616675,	 66843.77663119506905786693,	 98.30273455850438324433,	 9.45372402491245011902,	 1.00170385327104938256,	 1.03119415376300471721
3.93979994958167445418,	 10.37500000000000000000,	 0.60552601592046462198,	 1.15190187886530770456,	 100000.00000000000000000000,	 0.75180889690199692588,	 0.14628288098153235941,	 1.77568037310234227988,	 505.99699613840488154892,	 284.95950273661185292440,	 294.47543639264512194131,	 25927.96557172703978721984,	 -19448.93220968370951595716,	 66528.92467167558788787574,	 107.18851933855798108652,	 9.49948624042374945020,	 1.00142954397695937985,	 1.10396916558111102269
3.93979994958167445418,	 10.62500000000000000000,	 0.61522409349774265230,	 1.18909497206622938315,	 100000.00000000000000000000,	 0.73214872479242398828,	 0.11692463129468136374,	 1.68402484020136489207,	 506.97233186560100648421,	 301.04801292894262587652,	 310.26108390391999591884,	 20724.35130039656723965891,	 -22069.19713030243292450905,	 66039.30434462896664626896,	 116.77484789059653280674,	 9.53982449917626773583,	 1.00120765728706695441,	 1.18185348319023808550
3.93979994958167445418,	 10.87500000000000000000,	 0.62947196712918151995,	 1.24480883126795838223,	 100000.00000000000000000000,	 0.71349879241982050448,	 0.08402682529063905392,	 1.59932364303193952360,	 508.37552122549294608689,	 317.86907136677672269798,	 326.89664191369405443766,	 14893.36700657582150597591,	 -25150.66334314411142258905,	 65413.74027236431720666587,	 126.95148069898773712794,	 9.57216705877267592939,	 1.00104348976695400886,	 1.26409345175118192905
3.93979994958167445418,	 11.12500000000000000000,	 0.64791880687999370281,	 1.31883676420406459329,	 100000.00000000000000000000,	 0.69389472678708363773,	 0.04597591990708989329,	 1.51264510705429788828,	 509.25885445521515748624,	 336.66776964422149376333,	 345.79913973527362713867,	 8149.01962882450970937498,	 -28542.69679299320705467835,	 64821.61318743180891033262,	 138.50973324296208488704,	 9.58958620878171963398,	 1.00095948252778410570,	 1.35763266285388106702
3.93979994958167445418,	 11.37500000000000000000,	 0.67011039033396313513,	 1.41072569443934336952,	 100000.00000000000000000000,	 0.67361975453975864170,	 0.00350936420579550700,	 1.42554030962206312871,	 509.10031608679969394871,	 357.12796940955780655713,	 366.22561424287101772279,	 622.01861007921706914203,	 -30590.41333609005596372299,	 64392.21187737624859437346,	 151.70036502391567978520,	 9.61180841606557834211,	 1.00085737987784351155,	 1.46165200518861393419
3.93979994958167445418,	 11.62500000000000000000,	 0.69550028705681021801,	 1.51965323821832964946,	 100000.00000000000000000000,	 0.65518224416068826521,	 -0.04031804289612198056,	 1.34857191590832581340,	 508.63388292274055402231,	 377.16481926004814795306,	 386.06792136830466688480,	 -7146.18703922051736299181,	 -31198.18549649494889308698,	 63980.46340451187279541045,	 165.17895810339012996337,	 9.63858307660022539665,	 1.00074261673909603587,	 1.56522813722429288141
3.93979994958167445418,	 11.87500000000000000000,	 0.72346331352698201034,	 1.64430697486169830057,	 100000.00000000000000000000,	 0.63896422131921182253,	 -0.08449909220777025720,	 1.28263460811999552291,	 508.17991820896628496484,	 396.20006741734823663137,	 404.99437498716878280902,	 -14977.07413816825646790676,	 -31329.04606704305842868052,	 63510.17257258738391101360,	 178.28609693800541435849,	 9.65844036407412431799,	 1.00066274055178761060,	 1.66496000093402951592
3.93979994958167445418,	 12.12500000000000000000,	 0.75331092722881876078,	 1.78278268352206903380,	 100000.00000000000000000000,	 0.62461527706512931513,	 -0.12869565016368944566,	 1.22567429186877574487,	 507.73755689553297543171,	 414.25161665207940586697,	 423.00905215102284273598,	 -22810.71007274204748682678,	 -30962.63834302546820254065,	 62991.49087668862193822861,	 190.97881309875501187889,	 9.67299826315647415242,	 1.00060698489462973626,	 1.76070030938766453055
3.93979994958167445418,	 12.37500000000000000000,	 0.78430818085443088084,	 1.93251717667357647557,	 100000.00000000000000000000,	 0.61246509848520391817,	 -0.17184308236922693491,	 1.17845380600557847472,	 507.67783494844189817741,	 430.79994511557350733710,	 439.79051902505153748280,	 -30458.39330968098875018768,	 12467.12105243484256789088,	 62335.90304610958264674991,	 202.58804402454435944492,	 9.67491252505624288460,	 1.00059931596841988899,	 1.84910893137545317977
3.93979994958167445418,	 12.62500000000000000000,	 0.81569181914556887492,	 2.09026854867095046586,	 100000.00000000000000000000,	 0.72216526815494286318,	 -0.09352655099062606725,	 1.63841180298175137509,	 561.21551262886998756585,	 342.53629741162257005271,	 385.24228099748563636240,	 -16577.14954652462620288134,	 88824.30750469544727820903,	 42088.40797570715221809223,	 124.59183058978810265671,	 8.82362606902400159470,	 1.00877818593315327078,	 1.35399116285617271416
3.93979994958167445418,	 12.87500000000000000000,	 0.84668907277118088395,	 2.25215243718882618396,	 100000.00000000000000000000,	 0.92541473570191379316,	 0.07872566293073290922,	 2.69043617627309883389,	 569.09889323711229280889,	 211.52662837943665863349,	 273.91224602394879639178,	 13953.76044266673125093803,	 86046.77854822229710407555,	 36325.51769945288106100634,	 51.31857232090402476388,	 7.54177304637515533159,	 1.04035869444410300488,	 0.73862562652415164610
3.93979994958167445418,	 13.12500000000000000000,	 0.87653668647301785644,	 2.41373766911366161025,	 100000.00000000000000000000,	 1.02574361625612953119,	 0.14920692978311170251,	 3.30542660457204773294,	 538.30076215562587549357,	 162.85364237434623646550,	 232.88070372522764728274,	 26446.23972758651871117763,	 32585.97423946261551463977,	 39706.89414488224429078400,	 30.98465947403426312690,	 6.55564765512839731088,	 1.08076967139882618163,	 0.54013907290054130605
3.93979994958167445418,	 13.37500000000000000000,	 0.90449971294318953774,	 2.57019893576894364884,	 100000.00000000000000000000,	 1.07514871205222428685,	 0.17064899910903466584,	 3.63150754406703946131,	 526.24052128067364719755,	 144.90965938936761858713,	 219.07406193720339615538,	 30246.74756239803900825791,	 10509.59442411631425784435,	 40746.15225456930784275755,	 24.02388093527898860202,	 5.98745000107437519432,	 1.11082717708790856825,	 0.46945135378543828564
3.93979994958167445418,	 13.62500000000000000000,	 0.92988960966603662062,	 2.71651847365363741105,	 100000.00000000000000000000,	 1.10874355795613843689,	 0.17885394829010167750,	 3.86199841936243704055,	 522.52834066705020177324,	 135.29998822560690996397,	 212.23393884790533547857,	 31701.03693964467674959451,	 4544.57017648904275120003,	 40854.08034656936069950461,	 20.38203375019500640519,	 5.61058823567905395890,	 1.13372403058077964033,	 0.43162812305019881975
3.93979994958167445418,	 13.87500000000000000000,	 0.95208119312000594192,	 2.84772367318000663161,	 100000.00000000000000000000,	 1.13555018800542528723,	 0.18346899488541923429,	 4.05100276632507672048,	 520.89980849301207399549,	 128.58539935423286237892,	 207.36319790361349646446,	 32519.03265064255901961587,	 2782.07834704953074833611,	 40786.13511418633424909785,	 17.95753944291872272743,	 5.32707773433827380671,	 1.15256715510096596766,	 0.40533678725622535044
3.93979994958167445418,	 14.12500000000000000000,	 0.97052803287081845784,	 2.95914360022182121313,	 100000.00000000000000000000,	 1.15723007928101551123,	 0.18670204641019708114,	 4.20716262522712991512,	 519.75838401877194883127,	 123.54131045521731380177,	 203.34983451313942737215,	 33092.07611316944530699402,	 2007.62681513060306315310,	 40723.30380766563757788390,	 16.26145255590125060507,	 5.11675209189030688606,	 1.16748513029758949067,	 0.38577126634767849866
3.93979994958167445418,	 14.37500000000000000000,	 0.98477590650225732549,	 3.04666498943546493194,	 100000.00000000000000000000,	 1.17390831207141554948,	 0.18913240556915833501,	 4.32930545033299551960,	 518.75996908932518181246,	 119.82521793407390475750,	 199.92688388832866053235,	 33522.84605820786237018183,	 1512.07156990585326639120,	 40701.88748468201811192557,	 15.12834049572375150206,	 4.97857175071315083414,	 1.17780241933520346542,	 0.37149987189413180566
3.93979994958167445418,	 14.62500000000000000000,	 0.99447398407953535582,	 3.10696760590084908316,	 100000.00000000000000000000,	 1.18544150563633032824,	 0.19096752155679508345,	 4.41479081951583740562,	 517.82228513452753304591,	 117.29259806500101603888,	 197.05671618173818160358,	 33848.11189812236989382654,	 1116.92452974521074793302,	 40726.88867854131240164861,	 14.47236192359144624220,	 4.91333603203499968970,	 1.18300533533044238688,	 0.36187457521657689918
3.93979994958167445418,	 14.87500000000000000000,	 0.99938346674662559277,	 3.13772005507180518080,	 100000.00000000000000000000,	 1.19166665824224016212,	 0.19228319149561451384,	 4.46127967117642754147,	 516.90216945573945395154,	 115.86410347581588098365,	 194.84433504772093215252,	 34081.30832308046956313774,	 746.02421535349014902749,	 40793.55356020775798242539,	 14.23782655007918762635,	 4.91900326006990340488,	 1.18311235668900027740,	 0.35653243150798186178
3.93979994958167445418,	 15.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.19307201701367904256,	 0.19307201701367923685,	 4.47180844693969792303,	 516.04190983131627490366,	 115.39892997529263141132,	 193.41385192520422720008,	 34221.12400579911627573892,	 418.49445041459438243692,	 40879.58052552035951521248,	 14.32816657067439791717,	 4.97603044817308415304,	 1.17945868156591693321,	 0.35489181382113738072
3.93979994958167445418,	 15.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.19346374254409681726,	 0.19346374254409692828,	 4.47474541819585702740,	 515.67216285495919692039,	 115.24055888365369071380,	 192.14596185959112517594,	 34290.55554828776075737551,	 251.22116944998828103053,	 40930.74875419618911109865,	 14.53441085226523377116,	 5.05625345810962834037,	 1.17419194031251072907,	 0.35434660051776567524
3.93979994958167445418,	 15.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.19378069884853110771,	 0.19378069884853124649,	 4.47712251111306702711,	 515.47193903536060588522,	 115.13465127564892043210,	 190.78750998035070551850,	 34346.73459052410908043385,	 229.50498999949095946249,	 40974.72855270675063366070,	 14.77988037545357080660,	 5.14774412556083138526,	 1.16819567878843932895,	 0.35397395075629473071
3.93979994958167445418,	 15.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.19411116416774643056,	 0.19411116416774654159,	 4.47960159040345295978,	 515.31697613757842191262,	 115.03634100888125146867,	 189.29346587316254613143,	 34405.30804328750673448667,	 241.36120194098916158509,	 41021.98791964331758208573,	 15.04869757467304047793,	 5.24730300675512317810,	 1.16170459912774504119,	 0.35362276029890954421
