0.71250000000000002220, 	 0.04240777063467459501, 	 -0.00000064248219803116, 	 -0.00000080838661910012, 	 -0.00000120868435490795, 	 -0.00000179743222030170, 	 -0.00000262558399389611, 	 -0.00000376355986302478, 	 -0.00000890991668631886, 	 -0.00001315420981005652
0.73750000000000004441, 	 0.04365803085723804489, 	 -0.00000066431865468903, 	 -0.00000083748951022473, 	 -0.00000125083938702957, 	 -0.00000186201584373688, 	 -0.00000271857394409862, 	 -0.00000389646320730051, 	 -0.00000921690220484308, 	 -0.00001360379258820310
0.76250000000000006661, 	 0.04489436447285797410, 	 -0.00000068644611423472, 	 -0.00000086598511878587, 	 -0.00000129360846469921, 	 -0.00000192650628017278, 	 -0.00000281167727253933, 	 -0.00000402979764364120, 	 -0.00000952364796995918, 	 -0.00001405308774013104
0.78750000000000008882, 	 0.04611677884530045873, 	 -0.00000070887944734189, 	 -0.00000089392038780113, 	 -0.00000133709320581541, 	 -0.00000199080639230556, 	 -0.00000290491219975219, 	 -0.00000416336636399773, 	 -0.00000983022164709077, 	 -0.00001450200099383208
0.81250000000000000000, 	 0.04732539961557068187, 	 -0.00000073158068846812, 	 -0.00000092147005019146, 	 -0.00000138132487043737, 	 -0.00000205493993570565, 	 -0.00000299832317076623, 	 -0.00000429698524293705, 	 -0.00001013667494522717, 	 -0.00001495041178152124
0.83750000000000002220, 	 0.04852037644642723246, 	 -0.00000075446596583141, 	 -0.00000094881268482806, 	 -0.00000142600846340550, 	 -0.00000211897093592418, 	 -0.00000309197006164036, 	 -0.00000443060148658615, 	 -0.00001044301500793915, 	 -0.00001539819005119993
0.86250000000000004441, 	 0.04970174372025740195, 	 -0.00000077749465655069, 	 -0.00000097610571823147, 	 -0.00000147059867895597, 	 -0.00000218297349840969, 	 -0.00000318588529461232, 	 -0.00000456427136908985, 	 -0.00001074921037948756, 	 -0.00001584521797147051
0.88750000000000006661, 	 0.05086939886985309550, 	 -0.00000080073958062513, 	 -0.00000100360353570882, 	 -0.00000151518387685672, 	 -0.00000224702259200775, 	 -0.00000328013439703295, 	 -0.00000469805017166133, 	 -0.00001105521502084102, 	 -0.00001629140992033041
0.91250000000000008882, 	 0.05202324035823743115, 	 -0.00000082432416324297, 	 -0.00000103151050604659, 	 -0.00000155968290956140, 	 -0.00000231125080942438, 	 -0.00000337478215512472, 	 -0.00000483208326758791, 	 -0.00001136099622864415, 	 -0.00001673672484520444
0.93750000000000000000, 	 0.05316332347889504706, 	 -0.00000084828747474907, 	 -0.00000105998827942049, 	 -0.00000160418830048629, 	 -0.00000237579552462088, 	 -0.00000346987010602749, 	 -0.00000496657364361948, 	 -0.00001166655210272191, 	 -0.00001718116773117076
