t	Pre-Clamp(Right-Femoral)	Post-Clamp	Pre-Clamp(Right-Popliteal)	Post-Clamp
15.29	123.94	132.43	86.43	117.59
15.30	120.09	131.56	85.79	116.69
15.31	116.18	130.58	85.27	115.84
15.32	112.55	129.52	84.65	115.04
15.33	109.65	128.72	84.10	114.35
15.34	107.46	128.23	83.55	113.60
15.35	106.07	129.06	83.06	112.87
15.36	104.99	131.94	82.69	112.11
15.37	104.29	137.59	82.28	111.41
15.38	103.56	146.17	81.84	110.76
15.39	103.05	157.05	81.33	110.19
15.40	102.24	169.32	80.78	110.21
15.41	101.47	181.72	80.22	111.07
15.42	100.77	193.29	79.68	113.30
15.43	99.97	203.25	79.09	117.62
15.44	99.35	211.09	78.52	124.05
15.45	98.76	217.07	78.00	132.30
15.46	98.16	221.08	77.62	141.98
15.47	97.60	223.70	77.00	152.19
15.48	96.92	225.24	76.65	162.20
15.49	96.42	226.08	76.20	171.50
15.50	95.69	226.40	75.79	179.36
15.51	95.09	226.72	75.28	185.63
15.52	94.40	226.81	74.75	190.26
15.53	93.69	227.03	74.25	193.27
15.54	93.04	227.31	73.69	194.88
15.55	92.36	227.54	73.23	195.34
15.56	91.78	227.76	72.95	195.14
15.57	91.18	227.96	73.11	194.41
15.58	90.59	227.93	74.17	193.59
15.59	90.14	227.67	76.38	192.89
15.60	89.53	227.06	80.27	192.16
15.61	88.87	225.92	85.42	191.73
15.62	88.20	224.19	91.71	191.51
15.63	87.46	221.69	98.43	191.31
15.64	86.74	218.43	104.96	191.03
15.65	86.07	214.46	110.83	190.57
15.66	85.53	209.86	115.69	189.66
15.67	85.27	204.62	119.33	188.27
15.68	85.67	198.82	122.03	186.20
15.69	87.25	192.58	123.76	183.28
15.70	90.31	185.94	125.16	179.33
15.71	95.24	179.38	126.04	174.22
15.72	101.67	173.14	126.68	168.30
15.73	109.19	167.80	127.03	161.74
15.74	116.80	163.57	127.01	155.20
15.75	124.09	160.44	126.67	149.21
15.76	130.39	158.35	125.98	144.23
15.77	135.67	156.97	124.95	140.48
15.78	139.79	156.01	123.56	137.76
15.79	143.09	155.30	122.10	136.05
15.80	145.65	154.44	120.46	134.94
15.81	147.61	153.45	118.87	134.30
15.82	148.99	152.22	117.09	133.77
15.83	149.80	150.72	115.33	133.34
15.84	150.04	149.04	113.51	132.84
15.85	149.73	147.38	111.37	132.22
15.86	149.02	145.74	108.92	131.54
15.87	147.85	144.06	106.10	130.61
15.88	146.48	142.48	103.02	129.66
15.89	145.00	140.90	99.98	128.53
15.90	143.46	139.53	97.02	127.37
15.91	141.88	138.21	94.44	126.03
15.92	140.41	137.25	92.44	124.71
15.93	138.83	136.29	90.93	123.39
15.94	137.14	135.35	89.90	122.04
15.95	135.16	134.52	89.20	120.84
15.96	132.81	133.51	88.73	119.60
15.97	129.92	132.59	88.26	118.46
15.98	126.49	131.68	87.76	117.45
15.99	122.59	130.81	87.18	116.53
16.00	118.64	129.91	86.54	115.72
16.01	115.11	129.18	85.91	114.85
16.02	112.03	128.57	85.30	114.10
16.03	109.72	128.22	84.65	113.36
16.04	108.08	128.35	84.11	112.64
16.05	107.01	129.81	83.54	111.88
16.06	106.20	133.26	83.05	111.19
16.07	105.53	139.44	82.63	110.46
16.08	104.81	148.28	82.05	109.86
16.09	104.07	159.33	81.59	109.54
16.10	103.36	171.61	81.07	109.96
16.11	102.54	184.03	80.61	111.52
16.12	101.86	195.42	80.09	114.93
16.13	101.30	205.21	79.52	120.22
16.14	100.61	212.65	78.98	127.61
16.15	100.02	218.03	78.49	136.65
16.16	99.30	221.69	77.99	146.60
16.17	98.72	223.73	77.38	156.80
16.18	98.04	224.80	76.86	166.39
16.19	97.34	225.40	76.37	174.84
16.20	96.54	225.55	75.91	181.91
16.21	95.77	225.79	75.46	187.28
16.22	94.98	226.06	75.09	190.92
16.23	94.30	226.48	74.64	193.21
16.24	93.57	226.92	74.27	194.17
16.25	92.96	227.45	73.73	194.18
16.26	92.35	227.74	73.29	193.73
16.27	91.76	227.94	72.79	192.96
16.28	91.24	227.85	72.47	192.15
16.29	90.59	227.30	72.66	191.48
16.30	90.03	226.31	73.79	191.00
16.31	89.44	224.95	76.13	190.79
16.32	88.74	222.97	79.96	190.62
16.33	88.09	220.41	85.05	190.53
16.34	87.47	217.24	91.14	190.14
16.35	86.93	213.49	97.59	189.49
16.36	86.73	208.98	103.73	188.27
16.37	87.56	203.89	109.12	186.46
16.38	89.66	198.02	113.42	183.85
16.39	93.54	191.54	116.75	180.29
16.40	99.25	184.80	119.01	175.72
16.41	106.40	178.20	120.45	170.00
16.42	114.21	172.42	121.38	163.72
16.43	122.06	167.72	121.89	157.07
16.44	129.09	164.18	122.09	150.81
16.45	135.16	161.74	122.06	145.40
16.46	140.11	160.01	121.75	141.10
16.47	144.01	158.82	121.15	137.96
16.48	147.20	157.62	120.27	136.00
16.49	149.63	156.41	119.11	134.69
16.50	151.59	155.07	117.71	133.95
16.51	152.91	153.56	116.10	133.51
16.52	153.59	151.88	114.46	133.03
16.53	153.77	150.19	112.67	132.60
16.54	153.34	148.56	110.73	132.03
16.55	152.52	146.95	108.70	131.37
16.56	151.34	145.44	106.51	130.62
16.57	150.02	144.00	103.92	129.65
16.58	148.61	142.61	101.11	128.64
16.59	147.20	141.30	98.28	127.51
16.60	145.73	140.04	95.51	126.32
16.61	144.21	138.81	92.87	125.02
16.62	142.65	137.67	90.75	123.67
16.63	140.95	136.69	89.10	122.34
16.64	138.99	135.62	87.90	121.01
16.65	136.68	134.72	87.04	119.76
16.66	133.79	133.88	86.51	118.62
16.67	130.33	133.02	86.09	117.64
16.68	126.45	132.08	85.66	116.73
16.69	122.32	131.29	85.29	115.99
16.70	118.50	130.40	84.71	115.12
16.71	114.98	129.51	84.18	114.36
16.72	112.32	128.70	83.62	113.55
16.73	110.36	128.42	83.02	112.70
16.74	108.94	129.18	82.49	111.89
16.75	108.02	131.87	81.90	111.04
16.76	107.18	137.18	81.42	110.31
16.77	106.46	145.22	80.86	109.63
16.78	105.64	155.63	80.51	109.29
16.79	104.78	167.55	79.96	109.66
16.80	104.03	179.83	79.58	110.95
16.81	103.24	191.48	79.12	114.07
16.82	102.55	201.66	78.63	119.08
16.83	101.84	209.87	78.16	126.13
16.84	101.14	216.12	77.65	134.89
16.85	100.49	220.31	77.08	144.66
16.86	99.77	222.87	76.60	154.81
16.87	99.05	224.27	76.16	164.53
16.88	98.27	225.01	75.68	173.20
16.89	97.41	225.24	75.18	180.56
16.90	96.59	225.34	74.87	186.26
16.91	95.76	225.41	74.48	190.34
16.92	95.00	225.68	74.01	192.85
16.93	94.30	226.12	73.47	194.04
16.94	93.56	226.67	73.03	194.32
16.95	92.90	227.21	72.54	193.96
16.96	92.29	227.53	71.97	193.28
16.97	91.60	227.54	71.47	192.42
16.98	90.98	227.20	70.96	191.76
16.99	90.39	226.33	70.67	191.24
17.00	89.78	224.91	70.67	190.89
17.01	89.13	223.07	71.33	190.72
17.02	88.55	220.62	73.04	190.50
17.03	87.86	217.73	76.10	190.19
17.04	87.31	214.25	80.56	189.71
17.05	87.07	210.07	86.15	188.72
17.06	87.72	205.17	92.29	187.13
17.07	89.61	199.53	98.56	184.89
17.08	93.23	193.22	104.19	181.70
17.09	98.69	186.53	109.06	177.43
17.10	105.62	179.86	112.79	172.16
17.11	113.31	173.64	115.48	166.05
17.12	120.97	168.58	117.31	159.34
17.13	128.01	164.60	118.42	152.70
17.14	134.04	161.69	119.11	146.84
17.15	138.93	159.69	119.40	141.99
17.16	142.79	158.17	119.53	138.40
17.17	145.97	156.97	119.34	135.94
17.18	148.40	155.79	118.88	134.49
17.19	150.24	154.63	118.12	133.62
17.20	151.44	153.36	117.06	133.13
17.21	152.22	152.02	115.76	132.67
17.22	152.27	150.50	114.33	132.33
17.23	151.80	148.98	112.61	131.85
17.24	150.95	147.33	110.85	131.22
17.25	149.67	145.63	108.93	130.46
17.26	148.30	143.96	106.90	129.61
17.27	146.74	142.34	104.79	128.68
17.28	145.25	140.88	102.35	127.58
17.29	143.72	139.54	99.70	126.39
17.30	142.17	138.39	97.10	125.24
17.31	140.55	137.40	94.44	123.94
17.32	138.70	136.44	92.04	122.67
17.33	136.59	135.52	90.10	121.35
17.34	133.96	134.64	88.50	120.11
17.35	130.82	133.74	87.36	118.97
17.36	127.11	132.79	86.54	117.82
17.37	123.07	131.87	85.95	116.87
17.38	119.03	131.05	85.47	115.95
17.39	115.34	130.17	85.06	115.14
17.40	112.39	129.37	84.54	114.30
17.41	110.12	128.60	84.00	113.60
17.42	108.54	128.17	83.44	112.77
17.43	107.44	128.70	82.82	111.97
17.44	106.69	130.84	82.23	111.20
17.45	105.95	135.50	81.68	110.50
17.46	105.26	143.00	81.16	109.92
17.47	104.51	152.89	80.68	109.60
17.48	103.70	164.76	80.23	109.89
17.49	102.93	177.24	79.84	111.36
17.50	102.17	189.19	79.38	114.48
17.51	101.45	199.77	78.93	119.56
17.52	100.83	208.41	78.49	126.80
17.53	100.24	214.97	78.02	135.63
17.54	99.57	219.52	77.62	145.52
17.55	98.79	222.35	77.20	155.80
17.56	98.09	224.03	76.71	165.51
17.57	97.33	224.92	76.24	174.23
17.58	96.47	225.25	75.74	181.49
17.59	95.62	225.51	75.32	187.14
17.60	94.84	225.64	74.82	191.06
17.61	94.10	225.93	74.53	193.55
17.62	93.37	226.24	74.08	194.74
17.63	92.78	226.69	73.60	194.96
17.64	92.17	227.03	73.07	194.60
17.65	91.55	227.34	72.53	193.97
17.66	90.93	227.41	71.96	193.25
17.67	90.40	227.19	71.42	192.63
17.68	89.74	226.61	71.07	192.24
17.69	89.13	225.54	70.71	192.01
17.70	88.38	223.96	70.57	191.93
17.71	87.74	221.74	70.73	191.93
17.72	87.02	219.06	71.52	191.82
17.73	86.37	215.66	73.43	191.39
17.74	86.22	211.60	76.77	190.56
17.75	86.73	206.92	81.41	189.26
17.76	88.54	201.52	87.14	187.20
17.77	91.99	195.39	93.50	184.30
17.78	97.19	188.72	99.80	180.43
17.79	103.87	181.62	105.51	175.65
17.80	111.28	174.80	110.26	169.79
17.81	118.82	168.76	113.93	163.36
17.82	125.65	163.86	116.47	156.83
17.83	131.46	160.40	118.18	150.87
17.84	136.24	158.02	119.25	145.65
17.85	139.93	156.49	119.87	141.58
17.86	142.76	155.51	120.23	138.81
17.87	144.90	154.63	120.27	136.88
17.88	146.50	153.79	120.12	135.56
17.89	147.48	152.81	119.73	134.86
17.90	147.92	151.58	118.94	134.33
17.91	147.88	150.29	117.94	133.82
17.92	147.26	148.85	116.68	133.26
17.93	146.21	147.33	115.19	132.64
17.94	144.76	145.64	113.62	131.91
17.95	143.21	144.02	111.95	131.07
17.96	141.44	142.46	110.10	130.05
17.97	139.78	140.97	108.21	128.99
17.98	138.16	139.56	106.09	127.79
17.99	136.45	138.18	103.73	126.59
18.00	134.69	137.03	101.06	125.24
18.01	132.64	136.04	98.24	123.98
18.02	130.04	135.03	95.38	122.63
18.03	126.85	134.19	92.76	121.44
18.04	123.17	133.37	90.48	120.32
18.05	119.02	132.52	88.71	119.14
18.06	114.98	131.64	87.33	118.15
18.07	111.36	130.83	86.47	117.27
18.08	108.47	129.89	85.88	116.38
18.09	106.40	129.02	85.49	115.64
18.10	105.04	128.28	85.08	114.84
18.11	104.22	127.88	84.68	114.12
18.12	103.71	128.49	84.19	113.37
18.13	103.16	131.06	83.65	112.68
18.14	102.64	136.12	83.05	111.97
18.15	102.01	144.06	82.46	111.33
18.16	101.25	154.41	81.84	110.83
18.17	100.54	166.40	81.32	110.90
18.18	99.88	178.94	80.87	112.06
18.19	99.23	190.86	80.52	114.82
18.20	98.72	201.41	80.07	119.69
18.21	98.21	209.93	79.67	126.71
18.22	97.59	216.30	79.25	135.45
18.23	97.00	220.69	78.89	145.40
18.24	96.30	223.43	78.41	155.70
18.25	95.62	224.98	78.12	165.78
18.26	94.84	225.65	77.58	174.83
18.27	94.02	225.94	77.11	182.50
18.28	93.31	226.07	76.69	188.46
18.29	92.52	226.16	76.21	192.83
18.30	91.88	226.44	75.84	195.56
18.31	91.29	226.79	75.41	196.93
18.32	90.77	227.27	75.03	197.26
18.33	90.25	227.74	74.67	196.92
18.34	89.77	228.03	74.27	196.32
18.35	89.25	228.13	73.78	195.53
18.36	88.58	227.92	73.29	194.83
18.37	87.92	227.29	72.77	194.33
18.38	87.20	226.16	72.19	194.15
18.39	86.45	224.46	71.69	194.02
18.40	85.76	222.34	71.14	193.92
18.41	85.20	219.58	71.01	193.68
18.42	84.83	216.23	71.23	193.22
18.43	84.99	212.18	72.31	192.45
18.44	86.00	207.43	74.70	191.02
18.45	88.47	201.94	78.44	189.10
18.46	92.60	195.78	83.56	186.40
18.47	98.38	188.92	89.67	182.84
18.48	105.35	181.82	96.24	178.39
18.49	112.92	175.05	102.57	172.89
18.50	120.15	169.01	108.21	166.80
18.51	126.65	164.17	112.79	160.42
18.52	131.98	160.69	116.30	154.24
18.53	136.23	158.40	118.74	148.84
18.54	139.51	156.94	120.49	144.39
18.55	142.01	156.01	121.57	141.07
18.56	144.03	155.26	122.30	138.71
18.57	145.48	154.41	122.70	137.17
18.58	146.49	153.49	122.93	136.21
18.59	146.87	152.25	122.87	135.39
18.60	146.77	150.98	122.54	134.75
18.61	146.14	149.47	121.84	134.11
18.62	145.15	147.90	120.80	133.40
18.63	143.80	146.26	119.53	132.63
18.64	142.26	144.56	117.99	131.75
18.65	140.68	143.03	116.47	130.70
18.66	139.02	141.54	114.80	129.57
18.67	137.33	140.11	113.17	128.44
18.68	135.67	138.96	111.32	127.10
18.69	133.82	137.89	109.43	125.85
18.70	131.74	136.94	107.25	124.52
18.71	129.15	136.03	104.73	123.23
18.72	125.93	135.16	102.03	121.91
18.73	122.28	134.38	99.15	120.63
18.74	118.40	133.50	96.44	119.35
18.75	114.64	132.67	93.83	118.23
18.76	111.31	131.78	91.83	117.29
18.77	108.81	130.88	90.27	116.31
18.78	106.96	129.99	89.12	115.54
18.79	105.67	129.36	88.37	114.80
18.80	104.85	129.10	87.83	114.17
18.81	104.29	129.98	87.35	113.49
18.82	103.62	132.81	86.90	112.77
18.83	102.94	138.23	86.43	112.11
18.84	102.25	146.49	85.90	111.42
18.85	101.52	157.16	85.39	110.85
18.86	100.84	169.33	84.73	110.68
18.87	100.12	182.08	84.15	111.35
18.88	99.55	194.11	83.57	113.42
18.89	98.93	204.64	83.09	117.45
18.90	98.44	213.06	82.56	123.67
18.91	97.79	219.41	82.07	131.84
18.92	97.17	223.62	81.61	141.45
18.93	96.43	226.21	81.17	151.76
18.94	95.73	227.45	80.75	161.97
18.95	94.91	227.98	80.29	171.38
18.96	94.19	227.99	79.81	179.42
18.97	93.46	227.94	79.31	185.81
18.98	92.75	228.02	78.78	190.44
18.99	92.15	228.16	78.30	193.49
19.00	91.61	228.44	77.79	195.11
19.01	91.06	228.95	77.42	195.73
19.02	90.54	229.37	76.92	195.56
19.03	90.03	229.71	76.52	195.04
19.04	89.45	229.73	76.13	194.30
19.05	88.84	229.56	75.65	193.70
19.06	88.14	228.86	75.18	193.16
19.07	87.41	227.81	74.64	192.78
19.08	86.65	226.04	74.18	192.60
19.09	85.96	223.66	73.60	192.38
19.10	85.28	220.70	73.09	192.11
19.11	85.05	217.05	72.66	191.54
19.12	85.31	212.68	72.36	190.58
19.13	86.68	207.81	72.55	189.16
19.14	89.46	202.10	73.60	187.05
19.15	94.08	195.90	75.91	184.17
19.16	100.26	189.22	79.77	180.38
19.17	107.54	182.39	84.91	175.69
19.18	115.23	176.17	91.18	169.98
19.19	122.60	170.70	97.92	163.60
19.20	129.13	166.36	104.54	157.16
19.21	134.44	163.23	110.50	150.87
19.22	138.88	161.07	115.26	145.44
19.23	142.33	159.56	119.01	141.17
19.24	145.03	158.49	121.67	138.05
19.25	147.10	157.50	123.61	135.88
19.26	148.56	156.42	124.86	134.64
19.27	149.57	155.25	125.75	133.79
19.28	149.90	153.89	126.29	133.33
19.29	149.58	152.38	126.64	132.87
19.30	148.91	150.80	126.62	132.33
19.31	147.80	149.05	126.23	131.76
19.32	146.44	147.29	125.61	131.06
19.33	144.98	145.64	124.57	130.23
19.34	143.41	144.09	123.29	129.26
19.35	141.89	142.61	121.92	128.25
19.36	140.35	141.16	120.30	127.00
19.37	138.81	139.90	118.74	125.80
19.38	137.18	138.83	117.08	124.48
19.39	135.24	137.86	115.53	123.19
19.40	132.87	136.96	113.62	121.81
19.41	129.98	136.08	111.54	120.51
19.42	126.51	135.23	109.18	119.22
19.43	122.51	134.40	106.55	118.07
19.44	118.52	133.61	103.51	116.97
19.45	114.79	132.85	100.51	115.93
19.46	111.72	131.97	97.70	115.13
19.47	109.46	131.20	95.20	114.31
19.48	107.88	130.44	93.20	113.57
19.49	106.76	130.13	91.68	112.89
19.50	106.06	130.90	90.57	112.19
19.51	105.41	133.39	89.90	111.39
19.52	104.83	138.60	89.29	110.68
19.53	104.15	146.65	88.80	109.89
19.54	103.45	157.09	88.28	109.29
19.55	102.66	169.14	87.73	108.97
19.56	101.94	181.61	87.17	109.17
19.57	101.30	193.49	86.43	110.53
19.58	100.69	203.82	85.87	113.62
19.59	100.12	212.24	85.20	118.78
19.60	99.50	218.43	84.57	125.93
19.61	98.89	222.69	84.02	134.80
19.62	98.21	225.23	83.45	144.70
19.63	97.50	226.70	83.02	154.89
19.64	96.72	227.34	82.40	164.67
19.65	95.96	227.43	81.99	173.30
19.66	95.23	227.36	81.48	180.57
19.67	94.45	227.27	80.95	186.14
19.68	93.81	227.23	80.41	190.08
19.69	93.15	227.40	79.86	192.46
19.70	92.61	227.69	79.31	193.66
19.71	91.97	228.09	78.73	193.84
19.72	91.49	228.48	78.21	193.36
19.73	90.86	228.79	77.75	192.70
19.74	90.30	228.84	77.20	191.76
19.75	89.72	228.30	76.73	191.04
19.76	89.15	227.20	76.30	190.50
19.77	88.44	225.40	75.77	190.06
19.78	87.75	222.73	75.25	189.85
19.79	87.10	219.34	74.86	189.54
19.80	86.79	215.13	74.29	189.17
19.81	87.02	210.51	73.79	188.49
19.82	88.34	205.43	73.19	187.37
19.83	91.27	199.95	72.76	185.52
19.84	96.02	194.15	72.59	182.90
19.85	102.40	187.85	72.99	179.24
19.86	109.91	181.57	74.38	174.66
19.87	117.70	175.46	77.18	168.95
19.88	125.19	170.18	81.39	162.46
19.89	131.73	165.83	87.00	155.81
19.90	137.26	162.65	93.26	149.57
19.91	141.74	160.51	99.86	144.24
19.92	145.19	158.99	106.12	140.06
19.93	148.05	157.94	111.56	137.13
19.94	150.27	157.03	115.82	135.01
19.95	151.85	156.07	119.05	133.81
19.96	152.88	154.92	121.24	133.03
19.97	153.30	153.65	122.82	132.49
19.98	153.22	152.08	123.83	132.07
19.99	152.58	150.39	124.53	131.57
20.00	151.54	148.73	124.89	131.00
