t	Pre-Clamp(Aorta)	Post-Clamp	Pre-Clamp(Left-Iliac-Artery)	Post-Clamp
18.96	68.18	58.18	79.06	129.51
18.97	67.79	57.55	79.24	128.81
18.98	67.27	57.03	79.49	127.96
18.99	66.91	56.40	79.47	127.08
19.00	66.56	55.78	79.46	126.09
19.01	66.27		79.09	125.15
19.02	65.98		78.81	124.20
19.03	65.81		78.36	123.12
19.04	65.63		77.87	122.10
19.05	65.51			121.00
19.06	65.32			119.71
19.07	65.27			118.25
19.08	65.19			116.46
19.09	65.14			114.31
19.10	64.93			111.64
19.11	64.80			108.57
19.12	64.66			104.95
19.13	64.50			100.87
19.14	64.25			96.70
19.15	64.07			92.67
19.16	63.79			89.27
19.17	63.49			86.56
19.18	63.04			84.72
19.19	62.70			83.64
19.20	62.19			83.08
19.21	61.74			82.77
19.22	61.26			82.68
19.23	60.86			82.61
19.24	60.42			82.44
19.25	60.20			82.27
19.26	60.06			81.97
19.27	60.51			81.56
19.28	61.67			81.16
19.29	64.36			80.70
19.30	69.04			80.26
19.31	75.73			79.69
19.32	84.41			79.17
19.33	94.46			78.60
19.34	105.02			77.97
19.35	115.04			77.37
19.36	123.49			76.65
19.37	129.85			75.90
19.38	133.75			75.12
19.39	135.29			74.38
19.40	134.94			73.70
19.41	133.48			73.04
19.42	131.34			72.37
19.43	129.01			71.81
19.44	126.77			71.23
19.45	124.85			70.75
19.46	123.14			70.29
19.47	121.77			69.82
19.48	120.61			69.29
19.49	119.70			68.93
19.50	118.85			68.45
19.51	118.13			68.11
19.52	117.38			67.63
19.53	116.77			67.32
19.54	116.06			66.83
19.55	115.20			66.44
19.56	114.09			66.08
19.57	112.62			65.68
19.58	110.68			65.37
19.59	108.13			65.00
19.60	104.70			64.63
19.61	100.84			64.31
19.62	96.43			64.01
19.63	92.24			63.69
19.64	88.43			63.36
19.65	85.62			63.06
19.66	83.73			62.78
19.67	82.92			62.42
19.68	82.83			62.07
19.69	83.29			61.82
19.70	83.82			61.58
19.71	84.37			61.32
19.72	84.70			61.04
19.73	84.68			60.76
19.74	84.42			60.45
19.75	84.12			60.24
19.76	83.67			59.94
19.77	83.12			59.78
19.78	82.60			59.49
19.79	82.19			59.38
19.80	81.60			59.21
19.81	81.08			59.09
19.82	80.50			58.99
19.83	79.84			58.97
19.84	79.06			58.85
19.85	78.35			58.80
19.86	77.57			58.64
19.87	76.77			58.52
19.88	75.90			58.25
19.89	75.23			57.98
19.90	74.61			57.69
19.91	74.10			57.42
19.92	73.58			57.06
19.93	73.17			56.72
19.94	72.66			56.38
19.95	72.30			56.13
19.96	71.82			55.86
19.97	71.38			55.97
19.98	70.96			56.47
19.99	70.60			58.01
20.00	70.07			60.84
