450, 	 0.50, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.75653870083152918724, 	 0.16675152201273291119, 	 0.11606168169962631509,  	 0.13304435715364781867
500, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.55191329776582498390, 	 0.36845648901285782406, 	 0.33172529998748695457,  	 0.33604337347791612967
500, 	 0.30, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.16225238762986760044, 	 0.31683049832283555203, 	 0.28701633746782795331,  	 0.29087417172531726539
500, 	 0.32, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.16555282058337439377, 	 0.26566772791392090358, 	 0.24262999725930683992,  	 0.24653640452492836532
500, 	 0.34, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.43213357071859903602, 	 0.22324665921328037954, 	 0.19858393524396689145,  	 0.20346109429411493585
500, 	 0.36, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.63863223142250369335, 	 0.19608278347360680316, 	 0.15487904528497900558,  	 0.16239816597754805350
500, 	 0.38, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.78654657910435687995, 	 0.17634850277834457355, 	 0.11148806924683590802,  	 0.12490471790909446481
500, 	 0.40, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.87725722965931740571, 	 0.15848307117207166561, 	 0.07267067102420095293,  	 0.09476142736386028442
500, 	 0.42, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.91228916856292974202, 	 0.14250963781050385304, 	 0.06023822029971888370,  	 0.07998366015307155352
500, 	 0.44, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.89318633355043441924, 	 0.12767865359184124574, 	 0.07443393868677511405,  	 0.08798520086073870206
500, 	 0.50, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.52601194377597271234, 	 0.22444220766510364351, 	 0.16870412421433206296,  	 0.18505035533553240712
550, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.04686915851818240775, 	 0.31027210814801098326, 	 0.26935056694350445472,  	 0.27610947842849486999
550, 	 0.30, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.29339520254099171748, 	 0.25458259482987738442, 	 0.22074170847287311048,  	 0.22692372831317192405
550, 	 0.32, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.56221562774867628320, 	 0.19885137205247196968, 	 0.17251346974157155678,  	 0.17870786297642404783
550, 	 0.34, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.76062451049972279460, 	 0.15126591302202799239, 	 0.12467683564295223286,  	 0.13224073904160416060
550, 	 0.36, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.89006585760918799366, 	 0.12294528039817152754, 	 0.07951128495714608613,  	 0.08968017779554506019
550, 	 0.38, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.95231209762634139171, 	 0.10136833801181263648, 	 0.04732795179984922163,  	 0.05892409734714410680
550, 	 0.40, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.94915611717197556629, 	 0.08285116421291484345, 	 0.05317995878891464134,  	 0.06037672991070185818
550, 	 0.42, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.88245073945564989071, 	 0.11330489785131109270, 	 0.08318043405269370805,  	 0.09179955613047720286
550, 	 0.44, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.75412436337178745394, 	 0.15843124647052658771, 	 0.12147365473038178318,  	 0.13295381222674709787
550, 	 0.50, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.01680107960015631008, 	 0.30069422617637392436, 	 0.24489889617764704077,  	 0.26639785817298727855
600, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.34560833861687356716, 	 0.25270308010186054437, 	 0.20768684850636090489,  	 0.21842823408318248757
