100000, 	 600, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.94594676088134865832, 	 0.09475478276838050773, 	 0.05675850171149027928, 	 0.06265827555392841641
100000, 	 600, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.94019027936828492020, 	 0.09941002949880670125, 	 0.05891857558861445660, 	 0.06589279812393372682
100000, 	 600, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.95143105462379418125, 	 0.11174338368856108483, 	 0.04600404955030486243, 	 0.05901529372931847706
100000, 	 600, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.94534327634993220446, 	 0.11651923414328453632, 	 0.04872958665717012222, 	 0.06260807842562321479
100000, 	 600, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.94272609346785030127, 	 0.12850966192246915387, 	 0.04205782104783091502, 	 0.06371437712161662215
100000, 	 600, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.93632920682725373496, 	 0.13338895097526543010, 	 0.04533541676096643214, 	 0.06720124784169835552
100000, 	 600, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.90410598826545607309, 	 0.13267978790124179689, 	 0.07480462256601029536, 	 0.08252010690112467073
100000, 	 600, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.90298466488523210227, 	 0.13690870747030289833, 	 0.07478705247392951339, 	 0.08293282317483555155
100000, 	 600, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.84524135986323789549, 	 0.15122552419108514776, 	 0.10040293330449497067, 	 0.10492088159080303900
100000, 	 600, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.84397121250591500274, 	 0.15554513755751886439, 	 0.10038655925204435782, 	 0.10528120298910545460
100000, 	 600, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 0.77027559031100101272, 	 0.16953034079753975805, 	 0.12572747238327863784, 	 0.12792159748994408330
100000, 	 600, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 0.76886047223582065779, 	 0.17392261652719967491, 	 0.12571133769277248460, 	 0.12824538371263410896
100000, 	 600, 	 0.45, 	 1700, 	 0.00001000000000000000, 	 0.46029050671582805165, 	 0.18668152953803834881, 	 0.19606033103548739516, 	 0.19704646394381764019
100000, 	 600, 	 0.45, 	 1700, 	 0.00000100000000000000, 	 0.46492860327709617518, 	 0.18686335776961865429, 	 0.19602627657495391711, 	 0.19611896580771778775
100000, 	 600, 	 0.45, 	 1750, 	 0.00001000000000000000, 	 0.30843305348025229495, 	 0.20364516676288094144, 	 0.22416649814191982881, 	 0.22300871574616168425
100000, 	 600, 	 0.45, 	 1750, 	 0.00000100000000000000, 	 0.31312299019725675642, 	 0.20739039887368601600, 	 0.22413342477892989058, 	 0.22217173017005020785
100000, 	 600, 	 0.45, 	 1800, 	 0.00001000000000000000, 	 0.13816271044102979015, 	 0.22377666967461484759, 	 0.25195351748318062235, 	 0.24891838263193991065
100000, 	 600, 	 0.45, 	 1800, 	 0.00000100000000000000, 	 0.14289193425488377898, 	 0.22764388912768410145, 	 0.25192011510571993282, 	 0.24815479924925698541
100000, 	 700, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 0.80800014092794869569, 	 0.15167880627015123407, 	 0.10912302527403007490, 	 0.11842921084987964586
100000, 	 700, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 0.79607674715987208902, 	 0.15681232534743580476, 	 0.11141779119440539669, 	 0.12203262572165399225
100000, 	 700, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 0.82617127940909784733, 	 0.16831868858316562099, 	 0.09832207976371561131, 	 0.11251633291555497574
100000, 	 700, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 0.81366192574199946996, 	 0.17360275384990225822, 	 0.10073112146020173074, 	 0.11647130966342564284
100000, 	 700, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 0.83079081897885909136, 	 0.18467339020900377933, 	 0.09017141226806246745, 	 0.11076435216134034034
100000, 	 700, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 0.81773191192852356934, 	 0.19009885539094062423, 	 0.09278589360693091648, 	 0.11493845102844371664
100000, 	 700, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.74053826374656694931, 	 0.20006243388023375873, 	 0.12311569963270317662, 	 0.13632312842691904353
100000, 	 700, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.73602558733106393518, 	 0.20479643344441017527, 	 0.12309521550518456867, 	 0.13745464830625708785
100000, 	 700, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.64408042535655063432, 	 0.21913901898490434350, 	 0.14972834444221228001, 	 0.15965338361555000968
100000, 	 700, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.63933645635058600210, 	 0.22397476509021813085, 	 0.14970862850323390925, 	 0.16066176866277984137
100000, 	 700, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.53076141342363669651, 	 0.23790112380166580919, 	 0.17604698063049789569, 	 0.18331807009857750690
100000, 	 700, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.52578748100380001684, 	 0.24282067670247123314, 	 0.17603006614855731815, 	 0.18423292346154465648
100000, 	 700, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.24050508039893048196, 	 0.23859868265032974088, 	 0.23536386877984730170, 	 0.23375996537524498797
100000, 	 700, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.24126416803900652130, 	 0.24309965373280453815, 	 0.23535704106212573805, 	 0.23357758446173348954
100000, 	 700, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.05271103453262138139, 	 0.25948649396871820150, 	 0.26427724272026814623, 	 0.26102821794932185018
