t	Pre-Clamp(Aorta raw)	Post-Clamp
3.75	93.6633	129.314
3.76	90.6278	134.408
3.77	87.8458	138.204
3.78	85.2951	140.979
3.79	83.3112	142.456
3.80	81.4541	143.045
3.81	80.0594	142.732
3.82	78.7019	141.814
3.83	77.613	140.255
3.84	76.3973	138.331
3.85	75.4352	136.116
3.86	74.5626	133.908
3.87	73.9659	131.358
3.88	73.3543	128.628
3.89	72.9068	125.682
3.90	72.4071	122.639
3.91	72.064	119.268
3.92	71.542	115.621
3.93	71.2362	111.489
3.94	70.7066	107.2
3.95	70.3486	102.703
3.96	69.8937	98.4814
3.97	69.476	94.5732
3.98	68.9614	91.2617
3.99	68.5213	88.1218
4.00	68.0291	85.7053
4.01	67.4697	83.4902
4.02	66.9849	81.8121
4.03	66.6418	80.2384
4.04	66.1496	79.1644
4.05	65.9184	78.2171
4.06	66.1123	77.5384
4.07	67.0371	76.9641
4.08	68.8719	76.5166
4.09	72.0864	75.8976
4.10	76.3004	75.5172
4.11	81.5659	74.9877
4.12	86.9881	74.6222
4.13	92.4551	74.0778
4.14	97.2657	73.7794
4.15	101.703	73.414
4.16	105.425	73.0858
4.17	108.655	72.698
4.18	111.287	72.3997
4.19	113.458	71.9
4.20	114.89	71.4972
4.21	115.844	70.9602
4.22	116.135	70.5649
4.23	116.053	69.9906
4.24	115.374	69.4462
4.25	114.591	68.8793
4.26	113.45	68.6705
4.27	112.167	68.8942
4.28	110.624	70.3113
4.29	108.871	72.9516
4.30	106.812	77.4191
4.31	104.418	83.3037
4.32	101.584	90.7546
4.33	98.5336	98.8767
4.34	95.3787	107.446
4.35	92.4029	115.718
4.36	89.5911	123.474
4.37	87.3163	130.276
4.38	85.3548	136.094
4.39	83.6841	140.74
4.40	82.3416	144.156
4.41	81.014	146.259
4.42	79.7834	147.483
4.43	78.7691	147.408
4.44	77.8517	146.819
4.45	77.1431	145.379
4.46	76.5017	143.746
4.47	75.9797	141.643
4.48	75.383	139.517
4.49	74.8907	137.086
4.50	74.4656	134.744
4.51	73.9659	132.096
4.52	73.3245	129.493
4.53	72.8472	126.48
4.54	72.2505	123.385
4.55	71.7955	119.73
4.56	71.1467	115.807
4.57	70.6842	111.474
4.58	70.0205	107.163
4.59	69.5282	102.792
4.60	69.036	98.8245
4.61	68.5139	95.1923
4.62	68.0738	92.1418
4.63	67.9843	89.3673
4.64	68.0738	87.0553
4.65	69.0658	85.0117
4.66	70.9826	83.3708
4.67	74.2046	82.0806
4.68	78.5826	81.1781
4.69	83.7065	80.4248
4.70	89.2256	79.94
4.71	94.6478	79.3508
4.72	99.5778	78.9182
4.73	104.03	78.4931
4.74	107.767	78.1649
4.75	111.064	77.6578
4.76	113.659	77.076
4.77	115.904	76.4495
4.78	117.351	75.823
4.79	118.306	75.0101
4.80	118.537	74.4731
4.81	118.455	73.7347
4.82	117.813	73.1082
4.83	117.015	72.4444
4.84	115.77	71.7955
4.85	114.412	71.1467
4.86	112.652	70.5649
4.87	110.892	69.931
4.88	108.759	69.476
4.89	106.447	69.2224
4.90	103.635	69.6923
4.91	100.57	71.1914
4.92	97.2955	74.2941
4.93	94.2973	78.8959
4.94	91.4482	85.2354
4.95	89.0466	92.746
4.96	87.003	101.107
