#t [s],	 x [cm],	 R [cm],	 Ux [cm/s],	 Ur [cm/s] 
 0.00000000000000000000 ,	 0.01250000000000000069,	 -0.93750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.31250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.18750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 -0.06250000000000000000,	 0.00000000000000000000,	 0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.06250000000000000000,	 0.00000000000000000000,	 0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.18750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.31250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.43750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.56250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.68750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.81250000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 
0.00000000000000000000 ,	 9.98750000000000071054,	 0.93750000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000 


0.10000000000000000555 ,	 0.01250000000000000069,	 -0.93749994364116784329,	 0.00146778702832262064,	 -0.00000188707810327672 
0.10000000000000000555 ,	 0.01250000000000000069,	 -0.81249995115567885673,	 0.00146778702832262172,	 -0.00000175228681017787 
0.10000000000000000555 ,	 0.01250000000000000069,	 -0.68749995867018975915,	 0.00146778702832265056,	 -0.00000148270422399317 
0.10000000000000000555 ,	 0.01250000000000000069,	 -0.56249996618470077259,	 0.00146778702832264948,	 -0.00000121312163781811 
0.10000000000000000555 ,	 0.01250000000000000069,	 -0.43749997369921167500,	 0.00146778702832259505,	 -0.00000094353905163721 
0.10000000000000000555 ,	 0.01250000000000000069,	 -0.31249998121372263293,	 0.00146778702832262194,	 -0.00000067395646544788 
