#t [s],	 res[A],	 res[Q] 
6.35470000000000023732 ,	 0.00002693069758923619 ,	 0.00308231330481810147 
6.35580000000000033822 ,	 0.00002693069758923619 ,	 0.00308231330481810147 
6.35690000000000043912 ,	 0.00002693069758923619 ,	 0.00308231330481810147 
6.35800000000000054001 ,	 0.00002693069758923619 ,	 0.00308231330481810147 
6.35910000000000064091 ,	 0.00002693069758923619 ,	 0.00308231330481810147 
6.36020000000000074181 ,	 0.00002693069758923619 ,	 0.00308231330481810147 
6.36129999999999995453 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36240000000000005542 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36350000000000015632 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36460000000000025722 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36570000000000035811 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36680000000000045901 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36790000000000055991 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.36900000000000066080 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37009999999999987352 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37119999999999997442 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37230000000000007532 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37340000000000017621 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37450000000000027711 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37560000000000037801 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37670000000000047891 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37780000000000057980 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37890000000000068070 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.37999999999999989342 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38109999999999999432 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38220000000000009521 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38330000000000019611 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38440000000000029701 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38550000000000039790 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38660000000000049880 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38770000000000059970 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38880000000000070060 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.38989999999999991331 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39100000000000001421 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39210000000000011511 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39320000000000021600 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39430000000000031690 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39540000000000041780 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39650000000000051870 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39760000000000061959 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39870000000000072049 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.39979999999999993321 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40090000000000003411 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40200000000000013500 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40310000000000023590 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40420000000000033680 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40530000000000043769 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40640000000000053859 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40750000000000063949 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40860000000000074039 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.40969999999999995310 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41080000000000005400 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41190000000000015490 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41300000000000025580 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41410000000000035669 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41520000000000045759 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41630000000000055849 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41740000000000065938 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41849999999999987210 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.41959999999999997300 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42070000000000007390 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42180000000000017479 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42290000000000027569 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42400000000000037659 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42510000000000047748 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42620000000000057838 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42730000000000067928 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42839999999999989200 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.42949999999999999289 ,	 0.00006080882234507608 ,	 0.00072297583477929500 
6.43060000000000009379 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43170000000000019469 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43280000000000029559 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43390000000000039648 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43500000000000049738 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43610000000000059828 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43720000000000069917 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43829999999999991189 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.43940000000000001279 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44050000000000011369 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44160000000000021458 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44270000000000031548 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44380000000000041638 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44490000000000051728 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44600000000000061817 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44710000000000071907 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44819999999999993179 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.44930000000000003268 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45040000000000013358 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45150000000000023448 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45260000000000033538 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45370000000000043627 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45480000000000053717 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45590000000000063807 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45700000000000073896 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45809999999999995168 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.45920000000000005258 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46030000000000015348 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46140000000000025437 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46250000000000035527 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46360000000000045617 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46470000000000055707 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46580000000000065796 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46689999999999987068 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46799999999999997158 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.46910000000000007248 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47020000000000017337 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47130000000000027427 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47240000000000037517 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47350000000000047606 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47460000000000057696 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47570000000000067786 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47679999999999989058 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47789999999999999147 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.47900000000000009237 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48010000000000019327 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48120000000000029416 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48230000000000039506 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48340000000000049596 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48450000000000059686 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48560000000000069775 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48669999999999991047 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48780000000000001137 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.48890000000000011227 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49000000000000021316 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49110000000000031406 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49220000000000041496 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49330000000000051585 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49440000000000061675 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49550000000000071765 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
6.49659999999999993037 ,	 0.00006430088596370576 ,	 0.00053405259809594660 
